0             0.3               0               0             0.3               0               0
0.03        0.300085       0.0299981               0         0.30017       0.0299992               0
0.06        0.300344       0.0599848               0        0.300513       0.0599863               0
0.09        0.300784       0.0899497               0        0.301038       0.0899506               0
0.12         0.30142        0.119884               0        0.301757        0.119883               0
0.15        0.302267        0.149779               0        0.302689        0.149776               0
0.18        0.303345        0.179629               0        0.303852        0.179623               0
0.21        0.304678         0.20943               0        0.305269         0.20942               0
0.24        0.306286        0.239177               0        0.306963        0.239162               0
0.27        0.308193        0.268868               0        0.308956        0.268846               0
0.3        0.310424        0.298497               0        0.311274        0.298469               0
0.33        0.313003        0.328062               0        0.313939        0.328026               0
0.36        0.315952        0.357558               0        0.316976        0.357512               0
0.39        0.319298        0.386978               0         0.32041        0.386923               0
0.42        0.323063        0.416318               0        0.324263        0.416251               0
0.45        0.327271        0.445569               0        0.328559        0.445489               0
0.48        0.331946        0.474723               0        0.333323        0.474629               0
0.51        0.337111        0.503769               0        0.338578        0.503659               0
0.54         0.34279        0.532696               0        0.344347        0.532569               0
0.57        0.349005        0.561491               0        0.350652        0.561345               0
0.6        0.355779         0.59014               0        0.357516        0.589973               0
0.63        0.363134        0.618626               0        0.364961        0.618436               0
0.66        0.371091        0.646933               0        0.373009        0.646718               0
0.69        0.379671         0.67504               0        0.381679        0.674799               0
0.72        0.388895        0.702927               0        0.390993        0.702657               0
0.75         0.39878        0.730572               0        0.400969         0.73027               0
0.78        0.409347         0.75795               0        0.411626        0.757615               0
0.81        0.420611        0.785036               0         0.42298        0.784664               0
0.84         0.43259          0.8118               0        0.435048         0.81139               0
0.87        0.445297        0.838215               0        0.447844        0.837763               0
0.9        0.458747        0.864248               0        0.461382        0.863752               0
0.93         0.47295        0.889867               0        0.475672        0.889324               0
0.96        0.487916        0.915038               0        0.490726        0.914444               0
0.99        0.503654        0.939723               0        0.506549        0.939076               0
1.02         0.52017        0.963885               0         0.52315        0.963183               0
1.05        0.537467        0.987485               0         0.54053        0.986724               0
1.08        0.555546         1.01048               0         0.55869         1.00966               0
1.11        0.574407         1.03283               0        0.577631         1.03195               0
1.14        0.594044          1.0545               0        0.597346         1.05354               0
1.17        0.614452         1.07543               0         0.61783          1.0744               0
1.2        0.635621         1.09558               0        0.639072         1.09448               0
1.23        0.657536         1.11491               0        0.661059         1.11373               0
1.26        0.680183         1.13337               0        0.683775         1.13211               0
1.29        0.703541         1.15092               0        0.707198         1.14957               0
1.32        0.727587          1.1675               0        0.731307         1.16607               0
1.35        0.752294         1.18307               0        0.756073         1.18155               0
1.38         0.77763         1.19758               0        0.781466         1.19597               0
1.41        0.803563         1.21099               0         0.80745         1.20928               0
1.44        0.830053         1.22326               0        0.833989         1.22145               0
1.47        0.857058         1.23433               0        0.861038         1.23243               0
1.5        0.884533         1.24417               0        0.888552         1.24217               0
1.53        0.912427         1.25275               0        0.916481         1.25063               0
1.56        0.940686         1.26001               0        0.944772         1.25779               0
1.59        0.969255         1.26593               0        0.973366          1.2636               0
1.62        0.998071         1.27047               0          1.0022         1.26804               0
1.65         1.02707         1.27361               0         1.03122         1.27107               0
1.68         1.05619         1.27533               0         1.06035         1.27267               0
1.71         1.08535         1.27559               0         1.08952         1.27282               0
1.74         1.11449         1.27438               0         1.11865          1.2715               0
1.77         1.14353         1.27169               0         1.14768          1.2687               0
1.8         1.17239         1.26752               0         1.17653         1.26441               0
1.83         1.20099         1.26185               0         1.20511         1.25864               0
1.86         1.22926          1.2547               0         1.23336         1.25137               0
1.89          1.2571         1.24607               0         1.26117         1.24263               0
1.92         1.28445         1.23597               0         1.28848         1.23242               0
1.95         1.31122         1.22441               0         1.31521         1.22076               0
1.98         1.33732         1.21144               0         1.34127         1.20768               0
2.01         1.36268         1.19707               0         1.36658         1.19321               0
2.04         1.38722         1.18134               0         1.39106         1.17738               0
2.07         1.41087         1.16429               0         1.41464         1.16024               0
2.1         1.43354         1.14597               0         1.43724         1.14182               0
2.13         1.45516         1.12642               0         1.45879         1.12219               0
2.16         1.47567         1.10571               0         1.47922          1.1014               0
2.19           1.495          1.0839               0         1.49847         1.07951               0
2.22          1.5131         1.06105               0         1.51648         1.05659               0
2.25          1.5299         1.03723               0         1.53319          1.0327               0
2.28         1.54534         1.01251               0         1.54854         1.00792               0
2.31          1.5594         0.98698               0          1.5625        0.982327               0
2.34         1.57202        0.960706               0         1.57502           0.956               0
2.37         1.58316        0.933773               0         1.58606        0.929021               0
2.4          1.5928        0.906266               0          1.5956        0.901472               0
2.43         1.60091        0.878269               0          1.6036         0.87344               0
2.46         1.60748        0.849869               0         1.61006        0.845011               0
2.49         1.61248        0.821152               0         1.61496        0.816271               0
2.52         1.61592        0.792205               0         1.61828        0.787306               0
2.55         1.61779        0.763113               0         1.62004        0.758203               0
2.58         1.61809        0.733962               0         1.62023        0.729047               0
2.61         1.61683        0.704834               0         1.61887         0.69992               0
2.64         1.61404        0.675813               0         1.61596        0.670906               0
2.67         1.60972        0.646978               0         1.61153        0.642082               0
2.7          1.6039        0.618404               0         1.60561        0.613527               0
2.73         1.59662        0.590168               0         1.59822        0.585314               0
2.76         1.58791        0.562339               0          1.5894        0.557514               0
2.79         1.57779        0.534985               0         1.57918        0.530194               0
2.82         1.56632        0.508169               0         1.56761        0.503417               0
2.85         1.55353        0.481951               0         1.55473        0.477243               0
2.88         1.53948        0.456387               0         1.54058        0.451727               0
2.91         1.52421        0.431529               0         1.52522        0.426922               0
2.94         1.50777        0.407423               0         1.50869        0.402872               0
2.97         1.49022        0.384112               0         1.49106        0.379622               0
